accnum,latitude,longitude,day_of_week,day_of_year,day,year,month,hour,division,neighbourhood_id,is_major_arterial,is_dry,good_light,good_visibility,has_traffctl,is_intersection,has_rlc,pedestrian_accident
891027,43.752745000000004,-79.32639,5,42,11,2006,2,18,33,45,0,1,0,1,0,0,0,0
893580,43.770645,-79.18689,0,58,27,2006,2,19,43,136,1,0,0,1,1,0,0,0
894195,43.688645,-79.35279,2,60,1,2006,3,11,54,57,0,1,1,1,0,0,0,0
899910,43.658545000000004,-79.38489,3,96,6,2006,4,15,52,76,1,1,1,1,1,0,0,0
898340,43.713045,-79.41179,3,110,20,2006,4,8,53,103,1,1,1,1,0,0,0,0
898350,43.763445000000004,-79.49099,3,110,20,2006,4,20,31,27,1,1,0,1,1,0,0,0
902863,43.657244,-79.447788,1,115,25,2006,4,8,11,83,1,0,1,0,1,0,0,0
939781,43.659945,-79.43499,4,118,28,2006,4,23,14,83,1,1,0,1,0,0,0,0
902826,43.665445,-79.41139,2,123,3,2006,5,9,14,95,1,1,1,1,0,0,0,0
919534,43.768745,-79.35689,2,137,17,2006,5,12,33,53,0,1,1,1,0,0,0,0
912231,43.661345000000004,-79.38179000000001,2,144,24,2006,5,19,51,75,1,1,1,1,0,0,0,0
917581,43.686245,-79.39329000000001,3,145,25,2006,5,22,53,98,1,1,0,1,1,0,0,1
905457,43.676745000000004,-79.41579,4,146,26,2006,5,22,13,96,1,1,0,1,1,0,1,0
911791,43.673345,-79.38809,1,157,6,2006,6,15,53,98,1,1,1,1,0,0,0,0
926382,43.670043,-79.428989,5,161,10,2006,6,16,14,93,1,1,1,1,1,0,0,0
911355,43.656645000000005,-79.36629,5,168,17,2006,6,13,51,73,0,1,1,1,0,0,0,0
911839,43.685645,-79.31279,6,169,18,2006,6,2,54,62,1,1,0,1,1,0,0,0
911972,43.668845000000005,-79.39369,6,169,18,2006,6,21,53,95,1,1,0,1,0,0,0,0
911524,43.709345,-79.29289,6,169,18,2006,6,22,41,120,1,1,0,1,1,0,0,0
918059,43.685645,-79.31279,2,172,21,2006,6,8,54,62,1,1,1,1,1,0,0,1
916584,43.646545,-79.38299,2,172,21,2006,6,8,52,76,0,1,1,1,1,0,0,0
913254,43.639945000000004,-79.43989,5,175,24,2006,6,3,11,86,1,1,0,1,1,0,0,0
913288,43.686645,-79.34779,6,176,25,2006,6,12,54,59,1,1,1,1,0,0,0,0
911336,43.744045,-79.28349,2,179,28,2006,6,10,41,126,1,1,1,1,1,0,0,0
911521,43.683745,-79.48249,3,180,29,2006,6,9,12,111,0,1,1,1,0,0,0,0
917568,43.686245,-79.43189,1,192,11,2006,7,18,13,107,0,1,1,1,0,0,0,0
917847,43.663145,-79.39269,3,194,13,2006,7,11,52,76,0,1,1,1,1,0,0,0
918102,43.649645,-79.43139000000001,4,195,14,2006,7,9,14,84,0,1,1,1,1,0,0,0
915101,43.631745,-79.43259,0,205,24,2006,7,13,14,85,1,1,1,1,0,0,0,0
919835,43.602045000000004,-79.51169,4,209,28,2006,7,16,22,18,0,1,1,1,0,0,0,0
920315,43.648645,-79.38029,0,212,31,2006,7,16,52,76,1,1,1,1,1,0,0,0
920756,43.730645,-79.57539,1,213,1,2006,8,18,23,4,0,1,1,1,0,0,0,0
921174,43.808945,-79.35899,3,222,10,2006,8,18,33,48,1,1,1,1,1,0,0,0
921181,43.731545000000004,-79.22519,3,222,10,2006,8,18,43,139,1,1,1,1,0,0,0,0
923965,43.639045,-79.34669,5,224,12,2006,8,9,51,70,0,1,1,1,1,0,0,0
927677,43.665045,-79.411586,5,224,12,2006,8,18,14,95,1,1,1,1,0,0,0,0
921668,43.654545,-79.36949,1,227,15,2006,8,15,51,73,1,1,1,1,1,0,0,0
922743,43.667345000000005,-79.40069,4,230,18,2006,8,21,53,95,1,1,0,1,0,0,0,0
932873,43.655345000000004,-79.41299000000001,6,232,20,2006,8,15,14,81,1,1,1,1,0,0,0,0
1118994,43.698245,-79.39659,6,228,16,2009,8,14,53,104,1,1,1,1,1,0,0,1
1126624,43.775445,-79.17509,6,228,16,2009,8,20,43,136,1,1,0,1,0,0,0,0
1124210,43.740345,-79.40589,0,229,17,2009,8,7,32,41,1,1,1,1,1,0,0,0
1122151,43.658445,-79.39319,1,244,1,2009,9,10,52,78,0,1,1,1,0,0,0,0
1122417,43.655845,-79.39919,1,244,1,2009,9,12,52,78,1,1,1,1,1,0,0,0
1128125,43.659845000000004,-79.39049,1,244,1,2009,9,14,52,76,1,1,1,1,1,0,0,0
1128823,43.696345,-79.46869000000001,4,254,11,2009,9,11,12,112,0,1,1,1,0,0,0,0
1124595,43.703945000000004,-79.25279,0,257,14,2009,9,21,41,122,1,1,0,1,1,0,0,0
1132051,43.658745,-79.37809,3,267,24,2009,9,10,51,75,0,1,1,1,0,0,0,0
1131978,43.664545000000004,-79.45659,3,267,24,2009,9,17,11,93,1,1,1,1,0,0,0,0
1134906,43.668845000000005,-79.37949,2,287,14,2009,10,10,51,74,1,1,1,1,1,0,1,0
1135987,43.673045,-79.46499,1,293,20,2009,10,11,12,91,1,1,1,1,1,0,0,0
1139402,43.753045,-79.48839,4,310,6,2009,11,6,31,27,1,1,0,1,0,0,0,0
1140607,43.662245,-79.38739,4,310,6,2009,11,10,52,76,0,1,1,1,0,0,0,0
1140739,43.650445,-79.38869,0,313,9,2009,11,12,52,78,1,1,1,1,1,0,0,1
1136343,43.643545,-79.43919,1,314,10,2009,11,14,11,86,0,1,1,1,1,0,0,0
1141576,43.658845,-79.39529,2,322,18,2009,11,10,52,79,1,1,1,1,0,0,0,0
1144668,43.710345000000004,-79.25899,5,325,21,2009,11,17,41,122,0,1,0,1,0,0,0,0
1143058,43.767445,-79.27329,3,330,26,2009,11,6,41,126,1,0,0,0,0,0,0,0
1146935,43.707445,-79.26779,0,334,30,2009,11,14,41,120,0,1,1,1,0,0,0,0
1141818,43.603845,-79.54619,5,346,12,2009,12,11,22,20,1,1,1,1,0,0,0,0
1142399,43.677545,-79.30259000000001,1,349,15,2009,12,19,55,63,1,1,0,1,0,0,0,0
1144508,43.685845,-79.33939000000001,1,363,29,2009,12,17,54,59,0,1,1,1,0,0,0,0
1150406,43.749545,-79.24449,3,7,7,2010,1,21,43,127,1,1,0,1,0,0,0,0
1157271,43.692345,-79.35449,3,35,4,2010,2,18,54,57,0,1,0,1,0,0,0,0
1171570,43.654945,-79.39879,0,95,5,2010,4,7,52,78,1,1,0,1,1,0,0,0
1167297,43.650345,-79.44159,5,114,24,2010,4,23,11,83,0,1,0,1,0,0,0,0
1175797,43.662045,-79.33589,1,117,27,2010,4,15,55,70,0,1,1,1,0,0,0,0
1165679,43.811645,-79.26919000000001,3,119,29,2010,4,9,42,129,1,1,1,1,1,0,0,0
1172452,43.656545,-79.38799,3,119,29,2010,4,13,52,76,0,1,1,1,0,0,0,0
